Recording,Participant,Timeline,TOI,Interval,Media,AOI,AOI_size,Duration_of_interval,Start_of_interval,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Total_duration_of_Glances,Number_of_Glances
UXRecording3,UXP09,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,54954,12532,30000,897,299,3,7663,356,2
UXRecording3,UXP09,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,12484,12120,30000,1122,561,2,9292,256,1
UXRecording3,UXP09,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,38654,11102,30000,360,180,2,8210,620,1
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,126305,11151,0,1944,165,8,491,1493,2
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,93059,11293,0,1925,228,8,513,966,3
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,13536,12438,0,866,433,2,6546,245,1
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,17811,12829,0,1185,362,3,4838,313,0
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,43218,11162,0,2176,151,7,478,1324,5
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,9813,12258,0,719,295,1,3210,329,1
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,32933,12390,0,1195,168,4,1087,938,2
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,20720,12633,0,1602,534,3,4196,253,1
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,74647,11660,0,1645,235,7,1553,1200,2
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,55997,11059,0,648,324,2,6572,343,1
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,13793,11628,0,0,0,0,11628,216,1
UXRecording1,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,39507,11181,0,202,155,1,10329,650,2
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,114176,11545,15000,3050,207,8,357,1255,4
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,98947,11292,15000,1676,210,7,547,949,4
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,14856,12855,15000,1378,689,2,8567,296,0
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,17387,12876,15000,1194,597,2,3858,223,1
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,47465,12691,15000,1766,151,6,642,1417,4
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9412,11401,15000,816,408,2,2816,299,1
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,33883,12059,15000,1177,142,5,1251,803,3
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,18587,12004,15000,918,306,3,3473,171,1
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,82071,12539,15000,1720,172,10,1405,674,3
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,59385,12009,15000,744,248,3,6812,386,2
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,12763,12146,15000,668,454,1,9789,239,0
UXRecording2,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,41631,11552,15000,233,122,1,7775,599,1
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,116970,11162,30000,2910,167,12,547,1533,4
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,90911,12069,30000,2673,243,11,556,1207,2
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,14267,12944,30000,745,556,1,4959,256,1
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,add_to_cart_target,17957,11826,30000,1114,476,2,4475,320,1
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,promo_popup,42064,12767,30000,2052,145,6,566,1768,4
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,price_label,9590,11938,30000,864,432,2,3671,352,1
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,navigation_menu,31452,11985,30000,1104,135,7,1133,1005,3
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,search_bar_target,19079,12610,30000,866,433,2,4653,291,0
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,recommended_items,74560,11398,30000,1728,216,8,1858,908,3
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,53173,12858,30000,790,226,3,4663,368,1
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,12830,12801,30000,654,506,1,8836,278,0
UXRecording3,UXP10,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,39694,11101,30000,376,188,2,9981,595,1
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,117106,12223,0,2595,153,16,448,1554,4
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,92775,12724,0,1764,196,9,842,1093,3
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,14712,12397,0,0,0,0,12397,166,0
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,15480,11553,0,1180,341,2,3741,294,1
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,48368,12125,0,1881,213,8,554,878,5
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,8728,12542,0,924,462,2,3081,190,1
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,35450,12347,0,1043,207,5,1177,926,2
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,17735,11249,0,1041,442,2,2847,314,1
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,77906,11650,0,1217,137,7,1484,1159,4
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,59625,11222,0,1029,343,3,5901,452,2
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,13184,12311,0,0,0,0,12311,171,1
UXRecording1,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,37147,12688,0,212,121,1,12217,678,2
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,119193,12631,15000,2040,255,8,411,1184,4
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,100270,12215,15000,2376,170,12,718,1264,3
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,14762,12056,15000,684,463,1,6855,186,0
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,17036,12685,15000,1134,567,2,6946,399,1
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,47550,12726,15000,1670,163,9,621,1161,3
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9806,12320,15000,0,0,0,12320,198,1
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,34350,11731,15000,762,133,5,1226,701,2
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,19915,11043,15000,0,0,0,11043,231,0
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,73262,11353,15000,1550,185,7,1839,1089,3
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,59799,11049,15000,786,262,3,6450,418,1
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,11989,12449,15000,893,468,1,10338,261,1
UXRecording2,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,41343,12784,15000,211,197,1,11850,394,2
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,114919,12910,30000,3084,257,12,361,813,2
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,95152,11228,30000,2608,247,7,792,820,3
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,14790,12071,30000,954,412,1,7361,288,0
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,add_to_cart_target,15999,12444,30000,1093,360,2,6753,352,1
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,promo_popup,42192,12546,30000,2170,214,7,585,1394,4
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,price_label,8935,12517,30000,818,409,2,3092,366,0
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,navigation_menu,30510,12657,30000,756,189,4,880,735,3
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,search_bar_target,19555,12880,30000,890,445,2,4998,312,1
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,recommended_items,76957,12909,30000,1449,174,5,1381,1183,4
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,52414,11256,30000,604,222,2,5884,479,1
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,12507,11648,30000,854,427,2,6746,194,0
UXRecording3,UXP11,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,37307,12392,30000,358,179,2,12313,574,1
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,125321,11410,0,2232,248,9,520,1223,4
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,93493,12499,0,1989,184,7,807,753,4
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,15022,11801,0,1106,553,2,6774,214,1
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,16486,12042,0,1281,400,2,5989,304,1
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,42635,12376,0,2154,156,6,559,1726,3
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,9755,12490,0,856,428,2,3489,353,1
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,33093,11690,0,963,228,4,1494,767,4
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,19704,12150,0,774,387,2,4800,229,0
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,73032,11533,0,1600,152,5,1599,1074,4
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,55644,12697,0,867,289,3,4494,391,2
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,13493,11167,0,793,465,1,7910,154,0
UXRecording1,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,37906,12083,0,201,186,1,11352,372,2
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,113628,12259,15000,2707,165,11,320,1573,3
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,90995,11253,15000,2820,282,10,694,777,3
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,13707,12474,15000,706,405,1,6674,273,1
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,16330,11588,15000,942,368,2,4120,344,0
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,44564,11371,15000,2087,144,6,542,1387,5
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9039,11903,15000,932,466,2,3204,221,1
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,32427,12753,15000,823,164,5,1151,1038,2
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,19046,11984,15000,1110,384,2,4452,212,1
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,71128,11905,15000,1440,160,9,1706,816,2
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,54736,11070,15000,666,235,2,5626,341,2
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,13080,12199,15000,748,374,2,7701,137,0
UXRecording2,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,38210,11795,15000,368,184,2,10536,348,2
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,115086,11652,30000,2196,183,12,497,1549,4
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,105825,11418,30000,1883,208,6,474,1275,4
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,13314,12451,30000,1092,546,2,6121,200,0
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,add_to_cart_target,15683,12925,30000,1151,356,3,5446,282,1
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,promo_popup,44220,12841,30000,1553,145,7,448,1659,5
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,price_label,9550,12667,30000,670,335,2,3023,316,0
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,navigation_menu,30566,12910,30000,1046,189,5,825,770,2
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,search_bar_target,20193,11683,30000,1066,533,2,4819,307,1
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,recommended_items,76423,12050,30000,1307,146,6,1058,1070,2
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,51976,11673,30000,756,228,3,5439,328,1
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,11928,12823,30000,571,475,1,8512,250,1
UXRecording3,UXP12,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,37475,12342,30000,298,149,2,7984,502,1
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,121649,11607,0,2684,193,13,523,1213,2
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,93679,12476,0,2086,190,8,674,1034,4
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,14553,11962,0,0,0,0,11962,186,0
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,15518,12003,0,1142,351,2,4626,337,0
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,45641,11916,0,2171,193,8,480,1276,5
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,8639,12367,0,858,286,3,2770,243,1
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,34631,12689,0,1143,176,6,786,585,2
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,18585,12852,0,1066,464,2,3424,282,1
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,75052,12806,0,1512,188,7,1602,887,2
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,54592,11581,0,744,248,3,4660,391,1
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,13083,12208,0,906,453,2,9108,145,0
UXRecording1,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,40745,11292,0,394,197,2,8756,423,2
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,130245,11871,15000,3262,233,14,295,1527,4
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,103380,11960,15000,2566,281,6,863,881,4
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,14896,12632,15000,0,0,0,12632,272,1
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,15590,12365,15000,1263,342,1,5201,310,0
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,42898,12281,15000,2616,218,12,441,1570,3
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9429,11374,15000,978,489,2,3437,200,1
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,33602,12958,15000,1019,202,4,1396,913,3
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,20011,11669,15000,960,480,2,3543,216,1
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,80264,12397,15000,1384,173,8,1108,1255,2
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,56839,11092,15000,813,271,3,4487,351,1
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,13085,12709,15000,762,554,1,8712,281,0
UXRecording2,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,37679,12265,15000,264,132,2,6956,675,1
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,119751,12695,30000,2564,166,8,455,1096,2
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,96353,11163,30000,2080,260,8,564,731,2
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,13603,11592,30000,766,618,1,7828,194,0
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,add_to_cart_target,16807,11721,30000,0,0,0,11721,300,0
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,promo_popup,43232,11049,30000,2151,239,9,470,1088,3
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,price_label,9052,11673,30000,842,297,1,2506,267,1
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,navigation_menu,33382,12954,30000,942,157,6,1385,975,2
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,search_bar_target,20608,12685,30000,896,448,2,4162,316,0
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,recommended_items,72028,12349,30000,1868,205,7,2030,1198,2
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,58552,11897,30000,663,221,3,7067,343,1
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,13491,12505,30000,688,344,2,8603,185,1
UXRecording3,UXP13,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,37035,11256,30000,282,141,2,7127,663,1
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,119117,12682,0,2250,150,15,364,848,3
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,104780,11096,0,3288,274,12,769,885,3
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,15042,12741,0,741,634,1,6778,284,1
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,16026,12957,0,0,0,0,12957,381,1
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,42805,11848,0,1775,155,8,388,1424,5
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,9478,11242,0,0,0,0,11242,300,1
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,34842,11589,0,1060,212,5,893,912,3
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,19562,12221,0,884,396,2,2775,184,1
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,79315,11143,0,2340,234,10,1728,760,3
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,54319,12640,0,1092,364,3,5055,370,2
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,12224,11115,0,0,0,0,11115,148,1
UXRecording1,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,36022,12188,0,227,173,1,12169,471,1
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,129817,12750,15000,2187,243,9,452,1525,2
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,92828,12155,15000,2541,204,7,553,1414,3
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,14451,12880,15000,1072,536,2,7477,231,0
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,17322,12930,15000,1334,391,3,6124,327,0
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,46427,11088,15000,1749,240,7,578,1479,3
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9821,12504,15000,1368,456,3,3038,366,1
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,32543,12034,15000,1056,176,6,1313,831,3
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,18802,11878,15000,0,0,0,11878,212,0
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,70581,11934,15000,1642,205,7,1151,1131,3
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,57737,12508,15000,728,350,2,7971,558,1
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,13664,11884,15000,852,363,2,6556,243,1
UXRecording2,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,39370,11205,15000,338,169,2,8934,353,1
UXRecording3,UXP14,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,128899,12151,30000,2993,213,13,321,1004,3
